Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
2023-02-24 11:20,Wi-Fi,"SSID: HCA-Amenity",31.198840,-81.508105,24680,38311080,4534,7452124,14,"Jacksonville, FL","10.252.199.86","173.8.40.61",No
2023-02-24 11:19,Cell,"Verizon NRNSA",31.198840,-81.508105,50388,74264448,1789,2502560,48,"Alma, GA","100.84.148.53","174.209.201.129",No
2023-02-24 10:35,Cell,"Verizon NRNSA",31.198749,-81.508424,53443,63544979,10436,18264640,44,"Alma, GA","100.84.148.53","174.209.201.129",No
2023-02-21 09:50,Cell,"Verizon NRNSA",31.198915,-81.508166,98838,126993656,7638,13573542,49,"Hinesville, GA","100.69.85.3","174.209.198.60",No
2023-02-20 21:24,Cell,"Verizon LTE",31.138590,-81.383797,179185,211610622,12032,7091552,38,"Jacksonville, FL","100.69.85.3","174.209.198.60",No
2023-02-20 21:20,Cell,"Verizon LTE",31.138590,-81.383797,161529,163704832,2755,5477504,37,"Jacksonville, FL","100.69.85.3","174.209.198.60",No
2023-02-20 21:19,Cell,"Verizon LTE",31.138524,-81.383676,171104,220388965,2640,5039904,38,"Jacksonville, FL","100.69.85.3","174.209.198.60",No
2023-02-20 21:19,Cell,"Verizon LTE",31.138524,-81.383676,176123,278439844,11026,8888576,36,"Jacksonville, FL","100.69.85.3","174.209.198.60",No
2023-02-15 14:42,Wi-Fi,"SSID: DeltaWiFi.com",32.136381,-81.206198,42120,33338769,1049,1665636,604,"Pembroke, GA","172.19.1.104","99.196.129.19",No
2023-01-05 09:37,Cell,"Verizon NRNSA",31.198910,-81.507769,46637,70737152,3758,6283950,42,"Jacksonville, FL","100.75.194.172","174.209.201.182",No
2023-01-04 10:17,Cell,"Verizon NRNSA",31.198944,-81.507739,11035,17157566,6187,8686304,75,"Jacksonville, FL","100.75.194.172","174.209.196.53",No
2023-01-04 08:16,Cell,"Verizon NRNSA",31.198738,-81.508020,26618,30844160,4843,7218112,48,"Jacksonville, FL","100.75.194.172","174.209.196.53",No
2022-11-27 14:43,Cell,"Verizon LTE",31.163242,-81.450150,23312,28713714,6221,10678752,45,"Alma, GA","100.88.228.123","174.209.208.168",No
2022-11-27 14:41,Cell,"Verizon LTE",31.159712,-81.478098,135808,218144404,24630,38417991,46,"Atlanta, GA","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e",No
2022-11-27 14:40,Cell,"Verizon LTE",31.149969,-81.478292,87020,126110440,7490,13718208,33,"Atlanta, GA","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e",No
2022-11-27 14:38,Cell,"Verizon NRNSA",31.119113,-81.482322,78287,153718856,35736,38511238,34,"Atlanta, GA","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e",No
2022-11-27 14:38,Cell,"Verizon NRNSA",31.119113,-81.482322,197714,279460429,43010,34335849,26,"Atlanta, GA","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e","2600:1005:b062:43b2:c4d4:6c3:d48a:a39e",No
2022-11-27 14:36,Cell,"Verizon LTE",31.123303,-81.547390,19842,32426068,3165,5205994,51,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:34,Cell,"Verizon LTE",31.125362,-81.552355,22733,26635402,574,1034112,50,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:33,Cell,"Verizon LTE",31.125362,-81.552355,38943,51671281,5013,7421861,52,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:32,Cell,"Verizon LTE",31.133912,-81.567505,5797,7094760,4420,6422664,40,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:20,Cell,"Verizon LTE",31.230835,-81.765757,15764,27766584,510,831646,46,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:19,Cell,"Verizon LTE",31.230835,-81.765757,108590,131028322,11338,12693576,45,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:17,Cell,"Verizon LTE",31.229311,-81.790701,97631,145369478,19574,29657504,38,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:17,Cell,"Verizon LTE",31.222967,-81.843096,79320,124146879,14243,18291888,45,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 14:16,Cell,"Verizon LTE",31.222967,-81.843096,68928,114822944,8520,14636373,41,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 13:12,Cell,"Verizon LTE",31.221075,-82.420415,33250,46819120,5907,10058801,43,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 13:11,Cell,"Verizon LTE",31.221570,-82.422091,57657,58785696,1177,2404488,48,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 13:11,Cell,"Verizon LTE",31.266567,-82.574632,35135,41417168,2045,3502856,39,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 13:10,Cell,"Verizon LTE",31.266567,-82.574632,181692,312995256,53894,44402704,36,"Atlanta, GA","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf","2600:1005:b011:5dc0:25bc:cd87:4c78:a9bf",No
2022-11-27 13:06,Cell,"Verizon LTE",31.266575,-82.576258,7167,9409903,4588,8416608,48,"Metter, GA","100.75.29.28","174.209.106.167",No
2022-11-27 13:05,Cell,"Verizon LTE",31.266575,-82.576258,6968,11644056,7666,3972128,57,"Metter, GA","100.75.29.28","174.209.106.167",No
2022-11-27 13:00,Cell,"Verizon LTE",31.267021,-82.620697,180953,300981841,13762,19239840,53,"Metter, GA","100.75.29.28","174.209.106.167",No
2022-11-03 09:50,Cell,"Verizon LTE",31.198925,-81.508269,75611,98684648,10806,14990544,37,"Atlanta, GA","2600:1005:b05d:b940:14a0:35c4:8e56:1cfe","2600:1005:b05d:b940:14a0:35c4:8e56:1cfe",No
2022-10-27 10:09,Cell,"Verizon LTE",33.844000,-84.478400,99149,150983179,705,1019190,45,"Atlanta, GA","10.2.0.2","45.134.140.44",No
2022-10-25 10:40,Cell,"Verizon LTE",31.198952,-81.508085,33185,54860581,3850,6097176,29,"Atlanta, GA","2600:1005:b046:3b50:709b:9842:ae0a:40e8","2600:1005:b046:3b50:709b:9842:ae0a:40e8",No
2022-10-24 10:43,Cell,"Verizon LTE",31.198891,-81.508124,83682,135277336,10697,14947657,34,"Atlanta, GA","2600:1005:b046:3b50:bda0:1a76:7148:3ae8","2600:1005:b046:3b50:bda0:1a76:7148:3ae8",No
2022-10-14 09:34,Cell,"Verizon LTE",31.198929,-81.507675,55819,95058000,2004,3493872,41,"Atlanta, GA","2600:1005:b046:3b50:cd61:466d:6e98:b6f9","2600:1005:b046:3b50:cd61:466d:6e98:b6f9",No
2022-10-12 19:38,Cell,"Verizon LTE",31.138682,-81.383577,119884,121461778,13843,21934095,33,"Atlanta, GA","2600:1005:b046:3b50:cd61:466d:6e98:b6f9","2600:1005:b046:3b50:cd61:466d:6e98:b6f9",No
2022-10-12 19:17,Cell,"Verizon LTE",31.138631,-81.383649,115657,201052368,12563,7553919,38,"Atlanta, GA","2600:1005:b046:3b50:cd61:466d:6e98:b6f9","2600:1005:b046:3b50:cd61:466d:6e98:b6f9",No
